Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,0,1,0.5963778,0,0
0.09999999,0,1,0.6256983,0,0
0.2,0,1,0.6158016,0,0
0.3,0,1,0.6050406,0,0
0.4,0,1,0.6011759,0,0
0.5,0,1,0.5972686,0,0
0.6,0,1,0.5855132,0,0
0.7,0,1,0.5453386,0,0
0.8,0,1,0.5686714,0,0
0.9,0,1,0.6001509,0,0
1,0,1,0.6139797,0,0
1.1,0,1,0.6264695,0,0
1.2,0,1,0.5865437,0,0
1.3,0,1,0.5824112,0,0
1.4,0,1,0.5933172,0,0
1.5,0,1,0.6257234,0,0
1.6,0,1,0.585186,0,0
1.7,0,1,0.6066451,0,0
1.8,0,1,0.6025869,0,0
1.9,0,1,0.6116475,0,0
2,0,1,0.5696334,0,0
2.1,0,1,0.577063,0,0
2.2,0,1,0.5831695,0,0
2.3,0,1,0.5638363,0,0
2.4,0,1,0.5677856,0,0
2.5,0,1,0.5633184,0,0
2.6,0,1,0.5588013,0,0
2.7,0,1,0.5939412,0,0
2.8,0,1,0.6280441,0,0
2.9,0,1,0.6086365,0,0
3,0,1,0.6269752,0,0
3.1,0,1,0.6285408,0,0
3.2,0,1,0.6244376,0,0
3.3,0,1,0.6244622,0,0
3.4,0,1,0.6409398,0,0
3.5,0,1,0.6161534,0,0
3.6,0,1,0.5937504,0,0
3.7,0,1,0.6074654,0,0
3.8,0,1,0.6416146,0,0
3.9,0,1,0.6402079,0,0
4,0,1,0.6556938,0,0
4.1,0,1,0.6883566,0,0
4.2,0,1,0.6849363,0,0
4.3,0,1,0.679792,0,0
4.4,0,1,0.6729111,0,0
4.5,0,1,0.6642858,0,0
4.6,0,1,0.6539136,0,0
4.7,0,1,0.6417958,0,0
4.8,0,1,0.6279401,0,0
4.9,0,1,0.6365476,0,0
5,0,1,0.6201905,0,0
5.1,0,1,0.627266,0,0
5.2,0,1,0.658201,0,0
5.3,0,1,0.6879757,0,0
5.4,0,1,0.6933877,0,0
5.5,0,1,0.7212893,0,0
5.6,0,1,0.7253745,0,0
5.7,0,1,0.7512653,0,0
5.8,0,1,0.7311599,0,0
5.9,0,1,0.7089234,0,0
6,0,1,0.6845848,0,0
6.1,0,1,0.6581802,0,0
6.2,0,1,0.6564316,0,0
6.3,0,1,0.6270425,0,0
6.4,0,1,0.5956817,0,0
6.5,0,1,0.6188155,0,0
6.6,0,1,0.6407717,0,0
6.7,0,1,0.6075556,0,0
6.8,0,1,0.6280864,0,0
6.9,0,1,0.5928923,0,0
7,0,1,0.5557372,0,0
7.1,0,1,0.545999,0,0
7.2,0,1,0.564209,0,0
7.3,0,1,0.5812873,0,0
7.4,0,1,0.569564,0,0
7.5,0,1,0.5847337,0,0
7.6,0,1,0.5986895,0,0
7.7,0,1,0.5847998,0,0
7.8,0,1,0.5967112,0,0
7.9,0,1,0.5643698,0,0
8,0,1,0.5484957,0,0
8.099999,0,1,0.5317253,0,0
8.2,0,1,0.5527954,0,0
8.3,0,1,0.5078686,0,0
8.4,0,1,0.5014065,0,0
8.5,0,1,0.4666224,0,0
8.599999,0,1,0.4308388,0,0
8.7,0,1,0.3818436,0,0
8.8,0,1,0.3314187,0,0
8.9,0,1,0.2797396,0,0
9,0,1,0.2269923,0,0
9.099999,0,1,0.2185596,0,0
9.2,0,1,0.1648154,0,0
9.3,0,1,0.1104321,0,0
9.4,0,1,0.05561857,0,0
9.5,0,1,0.0005878364,0,0
9.599999,-1,1,-0.05444545,0,0
9.7,-1,1,-0.09505858,0,0
9.8,-1,1,-0.1496211,0,0
9.9,-1,1,-0.2036026,0,0
10,-1,1,-0.2567972,0,0
10.1,-1,1,-0.3090061,0,0
10.2,-1,1,-0.3338422,0,0
10.3,-1,1,-0.3576434,0,0
10.4,-1,1,-0.3788936,0,0
10.5,-1,1,-0.4018015,0,0
10.6,-1,1,-0.4375068,0,0
10.7,-1,1,-0.4582929,0,0
10.8,-1,1,-0.4777157,0,0
10.9,-1,1,-0.5107433,0,0
11,-1,1,-0.5427206,0,0
11.1,-1,1,-0.5878301,0,0
11.2,-1,1,-0.6032311,0,0
11.3,-1,1,-0.6458471,0,0
11.4,-1,1,-0.6729916,0,0
11.5,-1,1,-0.6635883,0,0
11.6,-1,1,-0.703293,0,0
11.7,-1,1,-0.7276834,0,0
11.8,-1,1,-0.7635891,0,0
11.9,-1,1,-0.7969822,0,0
12,-1,1,-0.8052712,0,0
12.1,-1,1,-0.8357725,0,0
12.2,-1,1,-0.8636472,0,0
12.3,-1,1,-0.8551426,0,0
12.4,-1,1,-0.8813456,0,0
12.5,-1,1,-0.8727182,0,0
12.6,-1,1,-0.8756319,0,0
12.7,-1,1,-0.8763686,0,0
12.8,-1,1,-0.8749709,0,0
12.9,-1,1,-0.89898,0,0
13,-1,1,-0.908295,0,0
13.1,-1,1,-0.9032723,0,0
13.2,-1,1,-0.8905844,0,0
13.3,-1,1,-0.8826212,0,0
13.4,-1,1,-0.9036225,0,0
13.5,-1,1,-0.9220278,0,0
13.6,-1,1,-0.9253027,0,0
13.7,-1,1,-0.9387863,0,0
13.8,-1,1,-0.9519022,0,0
13.9,-1,1,-0.9524513,0,0
14,-1,1,-0.9420165,0,0
14.1,-1,1,-0.9306504,0,0
14.2,-1,1,-0.930337,0,0
14.3,-1,1,-0.9157887,0,0
14.4,-1,1,-0.9134421,0,0
14.5,-1,1,-0.8959799,0,0
14.6,-1,1,-0.8766691,0,0
14.7,-1,1,-0.8865695,0,0
14.8,-1,1,-0.865473,0,0
14.9,-1,1,-0.8426481,0,0
15,-1,1,-0.8349359,0,0
15.1,-1,1,-0.8263408,0,0
15.2,-1,1,-0.8003027,0,0
15.3,-1,1,-0.7727354,0,0
15.4,-1,1,-0.7437124,0,0
15.5,-1,1,-0.7133068,0,0
15.6,-1,1,-0.7014981,0,0
15.7,-1,1,-0.6998314,0,0
15.8,-1,1,-0.6882514,0,0
15.9,-1,1,-0.6759893,0,0
16,-1,1,-0.6426772,0,0
16.1,-1,1,-0.6292983,0,0
16.2,-1,1,-0.6153148,0,0
16.3,-1,1,-0.5798359,0,0
16.4,-1,1,-0.5648757,0,0
16.5,-1,1,-0.5279292,0,0
16.6,-1,1,-0.4900648,0,0
16.7,-1,1,-0.451355,0,0
16.8,-1,1,-0.4118726,0,0
16.9,-1,1,-0.37169,0,0
17,-1,1,-0.3782199,0,0
17.1,-1,1,-0.3374669,0,0
17.2,-1,1,-0.3191146,0,0
17.3,-1,1,-0.2775667,0,0
17.4,-1,1,-0.2355553,0,0
17.5,-1,1,-0.1931521,0,0
17.6,-1,1,-0.1504294,0,0
17.7,-1,1,-0.1074583,0,0
17.8,-1,1,-0.06431037,0,0
17.9,-1,1,-0.07140876,0,0
18,-1,1,-0.02816165,0,0
18.1,0,1,0.01513087,0,0
18.2,0,1,0.05839764,0,0
18.3,0,1,0.101567,0,0
18.4,0,1,0.1445675,0,0
18.5,0,1,0.1625004,0,0
18.6,0,1,0.2051315,0,0
18.7,0,1,0.2474206,0,0
18.8,0,1,0.2892964,0,0
18.9,0,1,0.3306869,0,0
19,0,1,0.3715201,0,0
19.1,0,1,0.3884166,0,0
19.2,0,1,0.4283153,0,0
19.3,0,1,0.4674825,0,0
19.4,0,1,0.4834528,0,0
19.5,0,1,0.5214291,0,0
19.6,0,1,0.558499,0,0
19.7,0,1,0.5945903,0,0
19.8,0,1,0.6296297,0,0
19.9,0,1,0.6635439,0,0
20,0,1,0.6962596,0,0
20.1,0,1,0.7277039,0,0
20.2,0,1,0.7215998,0,0
20.3,0,1,0.7517917,0,0
20.4,0,1,0.7805802,0,0
20.5,1,1,0.8078915,0,0
20.6,1,1,0.8336532,0,0
20.7,1,1,0.8034751,0,0
20.8,1,1,0.8294681,0,0
20.9,1,1,0.8538549,0,0
21,1,1,0.8254457,0,0
21.1,1,1,0.8500628,0,0
21.2,1,1,0.8730173,0,0
21.3,1,1,0.8942363,0,0
21.4,1,1,0.9136483,0,0
21.5,1,1,0.9311818,0,0
21.6,1,1,0.9248599,0,0
21.7,1,1,0.9404776,0,0
21.8,1,1,0.9540939,0,0
21.9,1,1,0.9589561,0,0
22,1,1,0.9706493,0,0
22.1,1,1,0.9802004,0,0
22.2,1,1,0.9875445,0,0
22.3,1,1,0.9926183,0,0
22.4,1,1,0.9957677,0,0
22.5,1,1,0.9985819,0,0
22.6,1,1,0.9990025,0,0
22.7,1,1,0.9969752,0,0
22.8,1,1,0.99245,0,0
22.9,1,1,0.9853808,0,0
23,1,1,0.9757279,0,0
23.1,1,1,0.9634571,0,0
23.2,1,1,0.9748991,0,0
23.3,1,1,0.9624302,0,0
23.4,1,1,0.9473102,0,0
23.5,1,1,0.9295184,0,0
23.6,1,1,0.9090438,0,0
23.7,1,1,0.9042767,0,0
23.8,1,1,0.8971835,0,0
23.9,1,1,0.8811801,0,0
24,1,1,0.8703556,0,0
24.1,1,1,0.8571594,0,0
24.2,1,1,0.8415756,0,0
24.3,2,1,0.8235948,1,0
24.4,2,1,0.8032165,1,0
24.5,0,1,0.7804487,0,0
24.6,0,1,0.7553086,0,0
24.7,0,1,0.7278241,0,0
24.8,0,1,0.698034,0,0
24.9,0,1,0.6659873,0,0
25,0,1,0.6317465,0,0
25.1,0,1,0.5953853,0,0
25.2,0,1,0.5569896,0,0
25.3,0,1,0.5166589,0,0
25.4,0,1,0.4745046,0,0
25.5,0,1,0.4675389,0,0
25.6,0,1,0.4234542,0,0
25.7,0,1,0.3778275,0,0
25.8,0,1,0.3308084,0,0
25.9,0,1,0.282557,0,0
26,0,1,0.2332432,0,0
26.1,0,1,0.1830459,0,0
26.2,0,1,0.1321507,0,0
26.3,0,1,0.08074966,0,0
26.4,0,1,0.02903878,0,0
26.5,-1,1,-0.02278266,0,0
26.6,-1,1,-0.07451519,0,0
26.7,-1,1,-0.1259596,0,0
26.8,-1,1,-0.1769186,0,0
26.9,-1,1,-0.2272,0,0
27,-1,1,-0.2108865,0,0
27.1,-1,1,-0.260301,0,0
27.2,-1,1,-0.3087327,0,0
27.3,-1,1,-0.3560092,0,0
27.4,-1,1,-0.4019665,0,0
27.5,-1,1,-0.4464512,0,0
27.6,-1,1,-0.4893211,0,0
27.7,-1,1,-0.5304455,0,0
27.8,-1,1,-0.5697055,0,0
27.9,-1,1,-0.579135,0,0
28,-1,1,-0.6154301,0,0
28.1,-1,1,-0.6496518,0,0
28.2,-1,1,-0.6817237,0,0
