Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,-1,1,-0.2179915,0,0
0.09999999,-1,1,-0.1881853,0,0
0.2,-1,1,-0.1579442,0,0
0.3,-1,1,-0.1273382,0,0
0.4,-1,1,-0.0964367,0,0
0.5,-1,1,-0.06531105,0,0
0.6,-1,1,-0.03403147,0,0
0.7,-1,1,-0.002669969,0,0
0.8,0,1,0.02870196,0,0
0.9,0,1,0.061852,0,0
1,0,1,0.0930771,0,0
1.1,0,1,0.1240946,0,0
1.2,0,1,0.1548337,0,0
1.3,0,1,0.1852242,0,0
1.4,0,1,0.2151955,0,0
1.5,0,1,0.2446795,0,0
1.6,0,1,0.2794551,0,0
1.7,0,1,0.3111672,0,0
1.8,0,1,0.3449669,0,0
1.9,0,1,0.3735531,0,0
2,0,1,0.4041715,0,0
2.1,0,1,0.4314543,0,0
2.2,0,1,0.4329834,0,0
2.3,0,1,0.4598242,0,0
2.4,0,1,0.4890755,0,0
2.5,0,1,0.5178023,0,0
2.6,0,1,0.5459728,0,0
2.7,0,1,0.5700297,0,0
2.8,0,1,0.5969902,0,0
2.9,0,1,0.6190633,0,0
3,0,1,0.6446968,0,0
3.1,0,1,0.6646098,0,0
3.2,0,1,0.6888036,0,0
3.3,0,1,0.7122422,0,0
3.4,0,1,0.7398953,0,0
3.5,0,1,0.7658501,0,0
3.6,0,1,0.7868603,0,0
3.7,1,1,0.8101668,0,0
3.8,1,1,0.8294048,0,0
3.9,1,1,0.849895,0,0
4,1,1,0.8672514,0,0
4.1,1,1,0.8836269,0,0
4.2,1,1,0.8967804,0,0
4.3,1,1,0.9133379,0,0
4.4,1,1,0.926639,0,0
4.5,1,1,0.9388726,0,0
4.6,1,1,0.9511167,0,0
4.7,1,1,0.960059,0,0
4.8,1,1,0.970079,0,0
4.9,1,1,0.9777821,0,0
5,1,1,0.9844891,0,0
5.1,1,1,0.9899503,0,0
5.2,1,1,0.9931043,0,0
5.3,1,1,0.9864184,0,0
5.4,1,1,0.9930466,0,0
5.5,1,1,0.9937978,0,0
5.6,1,1,0.998047,0,0
5.7,1,1,0.9998813,0,0
5.8,1,1,0.9982216,0,0
5.9,1,1,0.9998797,0,0
6,1,1,0.9998792,0,0
6.1,1,1,0.9982129,0,0
6.2,1,1,0.9976162,0,0
6.3,1,1,0.9992846,0,0
6.4,1,1,0.9979947,0,0
6.5,1,1,0.99624,0,0
6.6,1,1,0.9979781,0,0
6.7,1,1,0.9962172,0,0
6.8,1,1,0.9979615,0,0
6.9,1,1,0.9998003,0,0
7,1,1,0.9998854,0,0
7.1,1,1,0.9992583,0,0
7.2,1,1,0.9992555,0,0
7.3,1,1,0.9997991,0,0
7.4,1,1,0.9978164,0,0
7.5,1,1,0.9984846,0,0
7.6,1,1,0.9997942,0,0
7.7,1,1,0.9997934,0,0
7.8,1,1,0.9992132,0,0
7.9,1,1,0.9998901,0,0
8,1,1,0.9992535,0,0
8.099999,1,1,0.9993483,0,0
8.2,1,1,0.99646,0,0
8.3,1,1,0.9911218,0,0
8.4,1,1,0.9905226,0,0
