Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,0,1,0.5022696,0,0
0.09999999,0,1,0.5280735,0,0
0.2,0,1,0.552656,0,0
0.3,0,1,0.5759568,0,0
0.4,0,1,0.597918,0,0
0.5,0,1,0.6184855,0,0
0.6,0,1,0.6376067,0,0
0.7,0,1,0.6552327,0,0
0.8,0,1,0.6713178,0,0
0.9,0,1,0.6858189,0,0
1,0,1,0.6986967,0,0
1.1,0,1,0.7099157,0,0
1.2,0,1,0.7194434,0,0
1.3,0,1,0.7272519,0,0
1.4,0,1,0.7333164,0,0
1.5,0,1,0.7376164,0,0
1.6,0,1,0.7691272,0,0
1.7,0,1,0.7716817,0,0
1.8,0,1,0.7723665,0,0
1.9,1,1,0.8021907,0,0
2,1,1,0.830169,0,0
2.1,1,1,0.8562301,0,0
2.2,1,1,0.8551357,0,0
2.3,1,1,0.8792435,0,0
2.4,1,1,0.9013045,0,0
2.5,1,1,0.9016406,0,0
2.6,1,1,0.9013464,0,0
2.7,1,1,0.9213607,0,0
2.8,1,1,0.9392133,0,0
2.9,1,1,0.9548525,0,0
3,1,1,0.9682315,0,0
3.1,1,1,0.9674184,0,0
3.2,1,1,0.9719675,0,0
3.3,1,1,0.9819046,0,0
3.4,1,1,0.9894907,0,0
3.5,1,1,0.9936257,0,0
3.6,1,1,0.9976385,0,0
3.7,1,1,0.9965584,0,0
3.8,1,1,0.9912887,0,0
3.9,1,1,0.9912609,0,0
4,1,1,0.9942134,0,0
4.1,1,1,0.9964978,0,0
4.2,1,1,0.9993494,0,0
4.3,1,1,0.9992186,0,0
4.4,1,1,0.9975687,0,0
4.5,1,1,0.9964733,0,0
4.6,1,1,0.9975522,0,0
4.7,1,1,0.9974184,0,0
4.8,1,1,0.9945275,0,0
4.9,1,1,0.9943832,0,0
5,1,1,0.9944926,0,0
5.1,1,1,0.9973748,0,0
5.2,1,1,0.9993092,0,0
5.3,1,1,0.997363,0,0
5.4,1,1,0.9978296,0,0
5.5,1,1,0.9997762,0,0
5.6,1,1,0.9999056,0,0
5.7,1,1,0.9992999,0,0
5.8,1,1,0.9963805,0,0
5.9,1,1,0.9910139,0,0
6,1,1,0.9909842,0,0
6.1,1,1,0.9963305,0,0
6.2,1,1,0.9992706,0,0
6.3,1,1,0.9973056,0,0
6.4,1,1,0.9992643,0,0
6.5,1,1,0.9987925,0,0
6.6,1,1,0.998152,0,0
6.7,1,1,0.999258,0,0
6.8,1,1,0.9997894,0,0
6.9,1,1,0.9993165,0,0
7,1,1,0.9987831,0,0
7.1,1,1,0.995808,0,0
7.2,1,1,0.9903861,0,0
7.3,1,1,0.9957728,0,0
7.4,1,1,0.9981093,0,0
7.5,1,1,0.9963965,0,0
7.6,1,1,0.9922414,0,0
7.7,1,1,0.9957969,0,0
7.8,1,1,0.9963688,0,0
7.9,1,1,0.9957707,0,0
8,1,1,0.9921608,0,0
8.099999,1,1,0.9963164,0,0
8.2,1,1,0.9956692,0,0
8.3,1,1,0.9901914,0,0
8.4,1,1,0.9937771,0,0
8.5,1,1,0.9870615,0,0
8.599999,1,1,0.9863672,0,0
8.7,1,1,0.9930423,0,0
8.8,1,1,0.993666,0,0
8.9,1,1,0.9899895,0,0
9,1,1,0.9954984,0,0
9.099999,1,1,0.9954826,0,0
9.2,1,1,0.9960367,0,0
9.3,1,1,0.9904558,0,0
9.4,1,1,0.9960011,0,0
9.5,1,1,0.9991434,0,0
9.599999,1,1,0.9998621,0,0
9.7,1,1,0.998143,0,0
9.8,1,1,0.9963831,0,0
9.9,1,1,0.9975635,0,0
10,1,1,0.9933835,0,0
10.1,1,1,0.9939349,0,0
10.2,1,1,0.9963284,0,0
10.3,1,1,0.9956753,0,0
10.4,1,1,0.9980838,0,0
10.5,1,1,0.9956497,0,0
10.6,1,1,0.9956341,0,0
10.7,1,1,0.99627,0,0
10.8,1,1,0.9992724,0,0
10.9,1,1,0.9998434,0,0
11,1,1,0.9979684,0,0
11.1,1,1,0.9955118,0,0
11.2,1,1,0.9960828,0,0
11.3,1,1,0.9954819,0,0
11.4,1,1,0.9979296,0,0
11.5,1,1,0.999172,0,0
11.6,1,1,0.9992008,0,0
11.7,1,1,0.9961274,0,0
11.8,1,1,0.9955937,0,0
11.9,1,1,0.9900613,0,0
12,1,1,0.9955535,0,0
12.1,1,1,0.9960654,0,0
12.2,1,1,0.994148,0,0
12.3,1,1,0.9885755,0,0
12.4,1,1,0.9897513,0,0
12.5,1,1,0.9940784,0,0
12.6,1,1,0.9896861,0,0
12.7,1,1,0.9896478,0,0
12.8,1,1,0.992769,0,0
12.9,1,1,0.9959175,0,0
13,1,1,0.990283,0,0
13.1,1,1,0.9897803,0,0
13.2,1,1,0.9953873,0,0
13.3,1,1,0.9958357,0,0
13.4,1,1,0.9933634,0,0
13.5,1,1,0.9896638,0,0
13.6,1,1,0.9953117,0,0
13.7,1,1,0.9916058,0,0
13.8,1,1,0.9846603,0,0
13.9,1,1,0.9784844,0,0
14,1,1,0.9865548,0,0
14.1,1,1,0.9894134,0,0
14.2,1,1,0.9931108,0,0
14.3,1,1,0.9956161,0,0
14.4,1,1,0.9936684,0,0
14.5,1,1,0.9955805,0,0
14.6,1,1,0.9930219,0,0
14.7,1,1,0.9912919,0,0
14.8,1,1,0.9950261,0,0
14.9,1,1,0.9912327,0,0
15,1,1,0.9958349,0,0
15.1,1,1,0.9911755,0,0
15.2,1,1,0.9928698,0,0
15.3,1,1,0.9890384,0,0
15.4,1,1,0.9948871,0,0
15.5,1,1,0.991049,0,0
15.6,1,1,0.9838946,0,0
15.7,1,1,0.9775841,0,0
15.8,1,1,0.9858548,0,0
15.9,1,1,0.9774261,0,0
16,1,1,0.9836218,0,0
16.1,1,1,0.9772614,0,0
16.2,1,1,0.9834808,0,0
16.3,1,1,0.9770949,0,0
16.4,1,1,0.9833379,0,0
16.5,1,1,0.988417,0,0
16.6,1,1,0.9905052,0,0
16.7,1,1,0.9862317,0,0
16.8,1,1,0.9797965,0,0
16.9,1,1,0.9718572,0,0
17,1,1,0.9632272,0,0
17.1,1,1,0.9530954,0,0
17.2,1,1,0.9414778,0,0
17.3,1,1,0.9291753,0,0
17.4,1,1,0.9151351,0,0
17.5,1,1,0.8987794,0,0
17.6,1,1,0.9144415,0,0
17.7,1,1,0.8996901,0,0
17.8,1,1,0.9131969,0,0
17.9,1,1,0.8981044,0,0
18,1,1,0.9124828,0,0
18.1,1,1,0.9266548,0,0
18.2,1,1,0.9123464,0,0
18.3,1,1,0.9123014,0,0
18.4,1,1,0.9249116,0,0
18.5,1,1,0.9353373,0,0
18.6,1,1,0.924328,0,0
18.7,1,1,0.9375557,0,0
18.8,1,1,0.9364833,0,0
18.9,1,1,0.9486669,0,0
19,1,1,0.9589436,0,0
19.1,1,1,0.9474381,0,0
19.2,1,1,0.9585834,0,0
19.3,1,1,0.9669546,0,0
19.4,1,1,0.958257,0,0
19.5,1,1,0.9474949,0,0
19.6,1,1,0.9570552,0,0
19.7,1,1,0.9462445,0,0
19.8,1,1,0.9575144,0,0
19.9,1,1,0.9668419,0,0
20,1,1,0.9563287,0,0
20.1,1,1,0.9462876,0,0
20.2,1,1,0.9559427,0,0
20.3,1,1,0.945856,0,0
20.4,1,1,0.9333951,0,0
20.5,1,1,0.9203222,0,0
20.6,1,1,0.9328118,0,0
20.7,1,1,0.9431007,0,0
20.8,1,1,0.9322659,0,0
20.9,1,1,0.9187789,0,0
21,1,1,0.9319779,0,0
21.1,1,1,0.9434882,0,0
21.2,1,1,0.9545505,0,0
21.3,1,1,0.9424968,0,0
21.4,1,1,0.9431018,0,0
21.5,1,1,0.9425583,0,0
21.6,1,1,0.9519431,0,0
21.7,1,1,0.9406275,0,0
21.8,1,1,0.9280915,0,0
21.9,1,1,0.9158214,0,0
22,1,1,0.9012368,0,0
22.1,1,1,0.9004585,0,0
22.2,1,1,0.9150351,0,0
22.3,1,1,0.928227,0,0
22.4,1,1,0.9139628,0,0
22.5,1,1,0.9275744,0,0
22.6,1,1,0.9268854,0,0
22.7,1,1,0.9394763,0,0
22.8,1,1,0.9258749,0,0
22.9,1,1,0.9126047,0,0
23,1,1,0.8970199,0,0
23.1,1,1,0.9118098,0,0
23.2,1,1,0.8964955,0,0
23.3,1,1,0.9106659,0,0
23.4,1,1,0.9106067,0,0
23.5,1,1,0.9237842,0,0
23.6,1,1,0.936587,0,0
23.7,1,1,0.9479954,0,0
23.8,1,1,0.9360414,0,0
23.9,1,1,0.9225333,0,0
24,1,1,0.9354371,0,0
24.1,1,1,0.9214003,0,0
24.2,1,1,0.9077587,0,0
24.3,1,1,0.9214728,0,0
24.4,1,1,0.9333335,0,0
24.5,1,1,0.9330288,0,0
24.6,1,1,0.9454899,0,0
24.7,1,1,0.9552361,0,0
24.8,1,1,0.9450086,0,0
24.9,1,1,0.9547997,0,0
25,1,1,0.9445208,0,0
25.1,1,1,0.954357,0,0
25.2,1,1,0.9440264,0,0
25.3,1,1,0.930819,0,0
25.4,1,1,0.9426475,0,0
25.5,1,1,0.9542292,0,0
25.6,1,1,0.9635604,0,0
25.7,1,1,0.9519661,0,0
25.8,1,1,0.9631886,0,0
25.9,1,1,0.9534076,0,0
26,1,1,0.9623448,0,0
26.1,1,1,0.9501702,0,0
26.2,1,1,0.9619567,0,0
26.3,1,1,0.9706463,0,0
26.4,1,1,0.9761961,0,0
26.5,1,1,0.9781004,0,0
26.6,1,1,0.9759688,0,0
26.7,1,1,0.9701213,0,0
26.8,1,1,0.9589785,0,0
26.9,1,1,0.9698038,0,0
27,1,1,0.958604,0,0
27.1,1,1,0.9604527,0,0
27.2,1,1,0.9602576,0,0
27.3,1,1,0.9498125,0,0
27.4,1,1,0.9390299,0,0
27.5,1,1,0.9252276,0,0
27.6,1,1,0.9384004,0,0
27.7,1,1,0.9245268,0,0
27.8,1,1,0.9250647,0,0
27.9,1,1,0.9237861,0,0
28,1,1,0.9361725,0,0
28.1,1,1,0.9367638,0,0
28.2,1,1,0.9481266,0,0
28.3,1,1,0.9469479,0,0
28.4,1,1,0.9358707,0,0
28.5,1,1,0.9217253,0,0
28.6,1,1,0.9081998,0,0
28.7,1,1,0.9218394,0,0
28.8,1,1,0.9205125,0,0
28.9,1,1,0.9331501,0,0
29,1,1,0.9337442,0,0
29.1,1,1,0.9193748,0,0
29.2,1,1,0.9330365,0,0
29.3,1,1,0.9317515,0,0
29.4,1,1,0.9191556,0,0
29.5,1,1,0.9317919,0,0
29.6,1,1,0.9435624,0,0
29.7,1,1,0.9311181,0,0
29.8,1,1,0.9431238,0,0
29.9,1,1,0.9304349,0,0
30,1,1,0.9166934,0,0
30.1,1,1,0.9019268,0,0
30.2,1,1,0.8855612,0,0
30.3,1,1,0.9006851,0,0
30.4,1,1,0.9150059,0,0
30.5,1,1,0.9281281,0,0
30.6,1,1,0.9132162,0,0
30.7,1,1,0.8989559,0,0
30.8,1,1,0.9130569,0,0
30.9,1,1,0.8965074,0,0
31,1,1,0.9121013,0,0
31.1,1,1,0.9255852,0,0
31.2,1,1,0.9112039,0,0
31.3,1,1,0.9109038,0,0
31.4,1,1,0.8944883,0,0
31.5,1,1,0.9099146,0,0
31.6,1,1,0.8941953,0,0
31.7,1,1,0.9087492,0,0
31.8,1,1,0.922304,0,0
31.9,1,1,0.934837,0,0
32,1,1,0.921492,0,0
32.1,1,1,0.9070737,0,0
32.2,1,1,0.8912764,0,0
