Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,2,1,0.9422902,1,0
0.09999999,2,1,0.9323866,1,0
0.2,2,1,0.9329938,1,0
0.3,2,1,0.944547,1,0
0.4,2,1,0.9303578,1,0
0.5,2,1,0.9420882,1,0
0.6,2,1,0.9518521,1,0
0.7,2,1,0.9595706,1,0
0.8,2,1,0.9498573,1,0
0.9,2,1,0.9356295,1,0
1,2,1,0.9474936,1,0
1.1,2,1,0.9447763,1,0
1.2,2,1,0.9408023,1,0
1.3,2,1,0.9464916,1,0
1.4,2,1,0.929049,1,0
1.5,2,1,0.9326031,1,0
1.6,2,1,0.9351251,1,0
1.7,2,1,0.9168248,1,0
1.8,2,1,0.9095239,1,0
1.9,2,1,0.9202805,1,0
2,2,1,0.8986885,1,0
2.1,2,1,0.8741273,1,0
2.2,2,1,0.8766258,1,0
2.3,2,1,0.8770405,1,0
2.4,2,1,0.8704922,1,0
2.5,2,1,0.8904184,1,0
2.6,2,1,0.895901,1,0
2.7,2,1,0.8847829,1,0
2.8,2,1,0.9035624,1,0
2.9,2,1,0.878897,1,0
3,2,1,0.8511257,1,0
3.1,2,1,0.8361667,1,0
3.2,2,1,0.819623,1,0
3.3,2,1,0.8167604,1,0
3.4,0,1,0.7972959,0,0
3.5,0,1,0.7761212,0,0
3.6,0,1,0.7542241,0,0
3.7,0,1,0.7305689,0,0
3.8,0,1,0.6881388,0,0
3.9,0,1,0.6426167,0,0
4,0,1,0.5941004,0,0
4.1,0,1,0.5427187,0,0
4.2,0,1,0.4886336,0,0
4.3,0,1,0.4320413,0,0
4.4,0,1,0.3731711,0,0
4.5,0,1,0.3122862,0,0
4.6,0,1,0.2496796,0,0
4.7,0,1,0.1856717,0,0
4.8,0,1,0.1444862,0,0
4.9,0,1,0.07892435,0,0
5,0,1,0.0382089,0,0
5.1,-1,1,-0.02791558,0,0
5.2,-1,1,-0.09388588,0,0
5.3,-1,1,-0.1593241,0,0
5.4,-1,1,-0.2003493,0,0
5.5,-1,1,-0.2407234,0,0
5.6,-1,1,-0.2803253,0,0
5.7,-1,1,-0.2955533,0,0
5.8,-1,1,-0.3335679,0,0
5.9,-1,1,-0.3469463,0,0
6,-1,1,-0.3592513,0,0
6.1,-1,1,-0.4184008,0,0
