Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
73.8,-1,1,-0.02233048,0,0
73.9,0,1,0.01369383,0,0
74,0,1,0.04339043,0,0
74.1,0,1,0.0729938,0,0
74.2,0,1,0.06782156,0,0
74.3,0,1,0.0971865,0,0
74.4,0,1,0.1263357,0,0
74.5,0,1,0.1588475,0,0
74.6,0,1,0.1570042,0,0
74.7,0,1,0.185695,0,0
74.8,0,1,0.2178577,0,0
74.9,0,1,0.2458835,0,0
75,0,1,0.2733538,0,0
75.1,0,1,0.3089419,0,0
75.2,0,1,0.3400148,0,0
75.3,0,1,0.301303,0,0
75.4,0,1,0.3277959,0,0
75.5,0,1,0.3535436,0,0
75.6,0,1,0.3889202,0,0
75.7,0,1,0.4138848,0,0
75.8,0,1,0.4484276,0,0
75.9,0,1,0.4775011,0,0
76,0,1,0.5060713,0,0
76.1,0,1,0.5290404,0,0
76.2,0,1,0.5565059,0,0
76.3,0,1,0.58338,0,0
76.4,0,1,0.6096323,0,0
76.5,0,1,0.5859167,0,0
76.6,0,1,0.612236,0,0
76.7,0,1,0.6422086,0,0
76.8,0,1,0.6707276,0,0
76.9,0,1,0.6977226,0,0
77,0,1,0.7212486,0,0
77.1,0,1,0.7458599,0,0
77.2,0,1,0.7687597,0,0
77.3,0,1,0.7898878,0,0
77.4,1,1,0.8100823,0,0
77.5,1,1,0.8294502,0,0
77.6,1,1,0.8288079,0,0
77.7,1,1,0.8472883,0,0
77.8,1,1,0.8637939,0,0
77.9,1,1,0.8803298,0,0
78,1,1,0.8778242,0,0
78.1,1,1,0.8933913,0,0
78.2,1,1,0.9047945,0,0
78.3,0,0,0,0,0
78.3,2,0,0.8263879,1,0
78.3,0,0,0.7123929,0,0
78.3,1,0,0.9526893,0,0
78.3,1,0,0.8284171,0,0
78.3,1,0,0.9745378,0,0
78.4,0,0,0,0,0
78.4,2,0,0.8481794,1,0
78.4,0,0,0.7034796,0,0
78.4,1,0,0.9657112,0,0
78.4,1,0,0.8554176,0,0
78.4,1,0,0.9833969,0,0
78.5,0,0,0,0,0
78.5,2,0,0.8507957,1,0
78.5,0,0,0.6819533,0,0
78.5,1,0,0.9718238,0,0
78.5,1,0,0.8674304,0,0
78.5,1,0,0.984892,0,0
78.6,0,0,0,0,0
78.6,2,0,0.8529875,1,0
78.6,0,0,0.6595472,0,0
78.6,1,0,0.9769201,0,0
78.6,1,0,0.8785634,0,0
78.6,1,0,0.9853821,0,0
78.7,0,0,0,0,0
78.7,2,0,0.8549051,1,0
78.7,0,0,0.6362795,0,0
78.7,1,0,0.9810084,0,0
78.7,1,0,0.8887628,0,0
78.7,0,0,0.3077299,0,0
78.8,0,0,0,0,0
78.8,2,0,0.8740298,1,0
78.8,0,0,0.6233752,0,0
78.8,1,0,0.9889844,0,0
78.8,1,0,0.9106702,0,0
78.8,0,0,0.272394,0,0
78.9,0,0,0,0,0
78.9,2,0,0.8914894,1,0
78.9,0,0,0.609053,0,0
78.9,1,0,0.9947411,0,0
78.9,1,0,0.9302845,0,0
78.9,0,0,0.2359953,0,0
79,0,0,0,0,0
79,2,0,0.9070376,1,0
79,0,0,0.5934192,0,0
79,1,0,0.9982729,0,0
79,1,0,0.9475365,0,0
79,0,0,0.1984234,0,0
79.1,0,0,0,0,0
79.1,2,0,0.9066024,1,0
79.1,0,0,0.5674515,0,0
79.1,1,0,0.9981255,0,0
79.1,1,0,0.9533262,0,0
79.1,0,0,0.1598613,0,0
79.2,0,0,0,0,0
