Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,-1,1,-0.8839992,0,0
0.09999999,-1,1,-0.9000242,0,0
0.2,-1,1,-0.9179487,0,0
0.3,-1,1,-0.9204994,0,0
0.4,-1,1,-0.9219094,0,0
0.5,-1,1,-0.9350822,0,0
0.6,-1,1,-0.9458643,0,0
0.7,-1,1,-0.9567523,0,0
0.8,-1,1,-0.9638737,0,0
0.9,-1,1,-0.9685894,0,0
1,-1,1,-0.9709115,0,0
1.1,-1,1,-0.9651145,0,0
1.2,-1,1,-0.9513062,0,0
1.3,-1,1,-0.950221,0,0
1.4,-1,1,-0.9342875,0,0
1.5,-1,1,-0.9310303,0,0
1.6,-1,1,-0.9198601,0,0
1.7,-1,1,-0.9133468,0,0
1.8,-1,1,-0.9184289,0,0
1.9,-1,1,-0.9052129,0,0
2,-1,1,-0.8910133,0,0
2.1,-1,1,-0.8758532,0,0
2.2,-1,1,-0.8765959,0,0
2.3,-1,1,-0.8605387,0,0
2.4,-1,1,-0.8469717,0,0
2.5,-1,1,-0.8314598,0,0
2.6,-1,1,-0.8140536,0,0
2.7,-1,1,-0.7948067,0,0
2.8,-1,1,-0.773776,0,0
2.9,-1,1,-0.7510216,0,0
3,-1,1,-0.7266056,0,0
3.1,-1,1,-0.7280773,0,0
3.2,-1,1,-0.702113,0,0
3.3,-1,1,-0.6746153,0,0
3.4,-1,1,-0.6456534,0,0
3.5,-1,1,-0.6152983,0,0
3.6,-1,1,-0.5900889,0,0
3.7,-1,1,-0.5578607,0,0
3.8,-1,1,-0.5244448,0,0
3.9,-1,1,-0.4899178,0,0
4,-1,1,-0.4543585,0,0
4.1,-1,1,-0.4178454,0,0
4.2,-1,1,-0.3804589,0,0
4.3,-1,1,-0.3422795,0,0
4.4,-1,1,-0.3033901,0,0
4.5,-1,1,-0.2744239,0,0
4.6,-1,1,-0.2346715,0,0
4.7,-1,1,-0.194436,0,0
4.8,-1,1,-0.1538018,0,0
4.9,-1,1,-0.1128527,0,0
5,-1,1,-0.07167388,0,0
5.1,-1,1,-0.03035042,0,0
5.2,0,1,0.01103232,0,0
5.3,0,1,0.05238954,0,0
5.4,0,1,0.09363578,0,0
5.5,0,1,0.1346862,0,0
5.6,0,1,0.1754554,0,0
5.7,0,1,0.2158596,0,0
5.8,0,1,0.255814,0,0
5.9,0,1,0.2952354,0,0
6,0,1,0.3340399,0,0
6.1,0,1,0.3721458,0,0
6.2,0,1,0.409471,0,0
6.3,0,1,0.4459345,0,0
6.4,0,1,0.4814564,0,0
6.5,0,1,0.5159582,0,0
6.6,0,1,0.5493618,0,0
6.7,0,1,0.5815911,0,0
6.8,0,1,0.6125711,0,0
6.9,0,1,0.6154391,0,0
7,0,1,0.6444121,0,0
7.1,0,1,0.6719822,0,0
7.2,0,1,0.6980811,0,0
7.3,0,1,0.7210351,0,0
7.4,0,1,0.7448615,0,0
7.5,0,1,0.7670321,0,0
7.6,0,1,0.7874858,0,0
7.7,1,1,0.8061644,0,0
7.8,1,1,0.8230127,0,0
7.9,1,1,0.8434019,0,0
8,1,1,0.858497,0,0
8.099999,1,1,0.8716144,0,0
8.2,1,1,0.8827077,0,0
8.3,1,1,0.8917344,0,0
8.4,1,1,0.9106637,0,0
8.5,1,1,0.8904709,0,0
8.599999,1,1,0.8974377,0,0
8.7,1,1,0.9022684,0,0
8.8,1,1,0.9049322,0,0
8.9,1,1,0.9242105,0,0
9,1,1,0.9414027,0,0
9.099999,1,1,0.9564512,0,0
9.2,1,1,0.9693019,0,0
9.3,1,1,0.9799041,0,0
9.4,1,1,0.9763622,0,0
9.5,1,1,0.9703981,0,0
9.599999,1,1,0.9779705,0,0
9.7,1,1,0.978574,0,0
9.8,1,1,0.9698688,0,0
9.9,1,1,0.9755709,0,0
10,1,1,0.9840276,0,0
10.1,1,1,0.989413,0,0
10.2,1,1,0.9845837,0,0
10.3,1,1,0.989256,0,0
10.4,1,1,0.9872171,0,0
10.5,1,1,0.9871296,0,0
10.6,1,1,0.9834466,0,0
10.7,1,1,0.9897179,0,0
10.8,1,1,0.9892245,0,0
