Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,0,1,0.790433,0,0
0.09999999,0,1,0.7586318,0,0
0.2,0,1,0.7452666,0,0
0.3,0,1,0.7299028,0,0
0.4,0,1,0.7125559,0,0
0.5,0,1,0.724489,0,0
0.6,0,1,0.6896262,0,0
0.7,0,1,0.6526563,0,0
0.8,0,1,0.613667,0,0
0.9,0,1,0.5843634,0,0
1,0,1,0.5424191,0,0
1.1,0,1,0.5648545,0,0
1.2,0,1,0.5342118,0,0
1.3,0,1,0.4902285,0,0
1.4,0,1,0.457695,0,0
1.5,0,1,0.4243371,0,0
1.6,0,1,0.4482308,0,0
1.7,0,1,0.4146506,0,0
1.8,0,1,0.3803144,0,0
1.9,0,1,0.404676,0,0
2,0,1,0.4155397,0,0
2.1,0,1,0.4237841,0,0
2.2,0,1,0.3764158,0,0
2.3,0,1,0.3712401,0,0
2.4,0,1,0.4086644,0,0
2.5,0,1,0.3742152,0,0
2.6,0,1,0.3390732,0,0
2.7,0,1,0.320335,0,0
2.8,0,1,0.3311446,0,0
2.9,0,1,0.3412171,0,0
3,0,1,0.3202663,0,0
3.1,0,1,0.2845464,0,0
3.2,0,1,0.2789023,0,0
3.3,0,1,0.2425704,0,0
3.4,0,1,0.2814455,0,0
3.5,0,1,0.2921807,0,0
3.6,0,1,0.2560539,0,0
3.7,0,1,0.2502682,0,0
3.8,0,1,0.2135865,0,0
3.9,0,1,0.162121,0,0
4,0,1,0.1872647,0,0
4.1,0,1,0.1976319,0,0
4.2,0,1,0.160607,0,0
4.3,0,1,0.1379588,0,0
4.4,0,1,0.08570808,0,0
4.5,0,1,0.09617723,0,0
4.6,0,1,0.08999124,0,0
4.7,0,1,0.1300035,0,0
4.8,0,1,0.1238559,0,0
4.9,0,1,0.1176939,0,0
5,0,1,0.08006585,0,0
5.1,0,1,0.05900918,0,0
5.2,0,1,0.0527652,0,0
5.3,0,1,0.03160655,0,0
5.4,0,1,0.04191413,0,0
5.5,0,1,0.03565517,0,0
5.6,-1,1,-0.002133911,0,0
5.7,0,1,0.008149258,0,0
5.8,0,1,0.03340232,0,0
5.9,0,1,0.05863046,0,0
6,0,1,0.05237634,0,0
6.1,0,1,0.03109393,0,0
6.2,-1,1,-0.02172344,0,0
6.3,-1,1,-0.01154,0,0
6.4,-1,1,-0.001323336,0,0
6.5,-1,1,-0.03909912,0,0
6.6,-1,1,-0.01386766,0,0
6.7,-1,1,-0.03513157,0,0
6.8,-1,1,-0.07285903,0,0
6.9,-1,1,-0.06255434,0,0
7,-1,1,-0.08361957,0,0
7.1,-1,1,-0.1212382,0,0
7.2,-1,1,-0.0960206,0,0
7.3,-1,1,-0.1168986,0,0
7.4,-1,1,-0.1375886,0,0
7.5,-1,1,-0.1749858,0,0
7.6,-1,1,-0.1497835,0,0
7.7,-1,1,-0.2013795,0,0
7.8,-1,1,-0.1902243,0,0
7.9,-1,1,-0.2273377,0,0
8,-1,1,-0.2021315,0,0
8.099999,-1,1,-0.1905272,0,0
8.2,-1,1,-0.2412319,0,0
8.3,-1,1,-0.2911273,0,0
8.4,-1,1,-0.3272536,0,0
8.5,-1,1,-0.3150755,0,0
8.599999,-1,1,-0.3633024,0,0
8.7,-1,1,-0.3383209,0,0
8.8,-1,1,-0.3249542,0,0
8.9,-1,1,-0.3724272,0,0
9,-1,1,-0.3886338,0,0
9.099999,-1,1,-0.4342124,0,0
9.2,-1,1,-0.4684762,0,0
9.3,-1,1,-0.4439117,0,0
9.4,-1,1,-0.4190055,0,0
9.5,-1,1,-0.4634475,0,0
9.599999,-1,1,-0.4478264,0,0
9.7,-1,1,-0.4312374,0,0
9.8,-1,1,-0.4741723,0,0
9.9,-1,1,-0.4564322,0,0
10,-1,1,-0.4377224,0,0
10.1,-1,1,-0.4180897,0,0
10.2,-1,1,-0.3975812,0,0
10.3,-1,1,-0.4390724,0,0
10.4,-1,1,-0.4791812,0,0
10.5,-1,1,-0.457457,0,0
10.6,-1,1,-0.4961101,0,0
10.7,-1,1,-0.4732555,0,0
10.8,-1,1,-0.4494354,0,0
10.9,-1,1,-0.4559631,0,0
11,-1,1,-0.4618849,0,0
11.1,-1,1,-0.4671983,0,0
11.2,-1,1,-0.471901,0,0
11.3,-1,1,-0.5063501,0,0
11.4,-1,1,-0.5392757,0,0
11.5,-1,1,-0.5416934,0,0
11.6,-1,1,-0.5722402,0,0
11.7,-1,1,-0.6011063,0,0
11.8,-1,1,-0.5731096,0,0
11.9,-1,1,-0.5439897,0,0
12,-1,1,-0.5138122,0,0
12.1,-1,1,-0.5413252,0,0
12.2,-1,1,-0.5100613,0,0
12.3,-1,1,-0.4778223,0,0
12.4,-1,1,-0.5040653,0,0
12.5,-1,1,-0.5288701,0,0
12.6,-1,1,-0.552179,0,0
12.7,-1,1,-0.5467179,0,0
12.8,-1,1,-0.5677859,0,0
12.9,-1,1,-0.5872843,0,0
13,-1,1,-0.6051756,0,0
13.1,-1,1,-0.6214262,0,0
13.2,-1,1,-0.6360103,0,0
13.3,-1,1,-0.6489062,0,0
13.4,-1,1,-0.6600974,0,0
13.5,-1,1,-0.6695732,0,0
13.6,-1,1,-0.6773278,0,0
13.7,-1,1,-0.6833602,0,0
13.8,-1,1,-0.6876737,0,0
13.9,-1,1,-0.6902766,0,0
14,-1,1,-0.6911809,0,0
14.1,-1,1,-0.690403,0,0
14.2,-1,1,-0.6879629,0,0
14.3,-1,1,-0.6838841,0,0
14.4,-1,1,-0.6781933,0,0
14.5,-1,1,-0.670921,0,0
14.6,-1,1,-0.6621004,0,0
