Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,-1,1,-0.7166457,0,0
0.09999999,-1,1,-0.7359638,0,0
0.2,-1,1,-0.7526937,0,0
0.3,-1,1,-0.7669004,0,0
0.4,-1,1,-0.7786559,0,0
0.5,-1,1,-0.7880368,0,0
0.6,-1,1,-0.7951251,0,0
0.7,-1,1,-0.8000037,0,0
0.8,-1,1,-0.8027571,0,0
0.9,-1,1,-0.80347,0,0
1,-1,1,-0.8022259,0,0
1.1,-1,1,-0.7991078,0,0
1.2,-1,1,-0.7941976,0,0
1.3,-1,1,-0.7875739,0,0
1.4,-1,1,-0.7867202,0,0
1.5,-1,1,-0.7928554,0,0
1.6,-1,1,-0.7855671,0,0
1.7,-1,1,-0.8171793,0,0
1.8,-1,1,-0.8075578,0,0
1.9,-1,1,-0.7963533,0,0
2,-1,1,-0.7836403,0,0
2.1,-1,1,-0.7694911,0,0
2.2,-1,1,-0.7539738,0,0
2.3,-1,1,-0.7371557,0,0
2.4,-1,1,-0.7191021,0,0
2.5,-1,1,-0.6998747,0,0
2.6,-1,1,-0.6822082,0,0
2.7,-1,1,-0.6615865,0,0
2.8,-1,1,-0.6399397,0,0
2.9,-1,1,-0.6173229,0,0
3,-1,1,-0.6028016,0,0
3.1,-1,1,-0.5838088,0,0
3.2,-1,1,-0.560504,0,0
3.3,-1,1,-0.5363681,0,0
3.4,-1,1,-0.511451,0,0
3.5,-1,1,-0.4858004,0,0
3.6,-1,1,-0.4893525,0,0
3.7,-1,1,-0.469565,0,0
3.8,-1,1,-0.4426021,0,0
3.9,-1,1,-0.4150274,0,0
4,-1,1,-0.3948278,0,0
4.1,-1,1,-0.3665648,0,0
4.2,-1,1,-0.337806,0,0
4.3,-1,1,-0.308595,0,0
4.4,-1,1,-0.2789746,0,0
4.5,-1,1,-0.2489866,0,0
4.6,-1,1,-0.2186733,0,0
4.7,-1,1,-0.1880749,0,0
4.8,-1,1,-0.1572334,0,0
4.9,-1,1,-0.1261881,0,0
5,-1,1,-0.09498037,0,0
5.1,-1,1,-0.06364942,0,0
5.2,-1,1,-0.03223521,0,0
5.3,-1,1,-0.0007782892,0,0
5.4,0,1,0.03068178,0,0
5.5,0,1,0.06210524,0,0
5.6,0,1,0.09345271,0,0
5.7,0,1,0.05835871,0,0
5.8,0,1,0.08957555,0,0
5.9,0,1,0.08750552,0,0
6,0,1,0.1185357,0,0
6.1,0,1,0.1162905,0,0
6.2,0,1,0.1470703,0,0
6.3,0,1,0.1015291,0,0
6.4,0,1,0.0655565,0,0
6.5,0,1,0.09621909,0,0
6.6,0,1,0.126761,0,0
6.7,0,1,0.09049584,0,0
6.8,0,1,0.1018219,0,0
6.9,0,1,0.1322224,0,0
7,0,1,0.1624555,0,0
7.1,0,1,0.1260119,0,0
7.2,0,1,0.08908096,0,0
7.3,0,1,0.1190165,0,0
7.4,0,1,0.0817185,0,0
7.5,0,1,0.07782783,0,0
7.6,0,1,0.03136081,0,0
7.7,-1,1,-0.006460977,0,0
7.8,-1,1,-0.04426215,0,0
7.9,-1,1,-0.01447064,0,0
8,-1,1,-0.05216233,0,0
8.099999,-1,1,-0.08965617,0,0
8.2,-1,1,-0.1268084,0,0
8.3,-1,1,-0.09680145,0,0
8.4,-1,1,-0.0666666,0,0
8.5,-1,1,-0.1034915,0,0
8.599999,-1,1,-0.1399243,0,0
8.7,-1,1,-0.1095415,0,0
8.8,-1,1,-0.1455338,0,0
8.9,-1,1,-0.1149179,0,0
9,-1,1,-0.1504542,0,0
9.099999,-1,1,-0.1195991,0,0
9.2,-1,1,-0.154668,0,0
