Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
200.1,0,0,0,0,0
200.1,-1,0,-0.8046486,0,0
200.1,-1,0,-0.6975901,0,0
200.1,-1,0,-0.8971691,0,0
200.1,-1,0,-0.9023809,0,0
200.1,-1,0,-0.7839985,0,0
200.2,0,0,0,0,0
200.2,-1,0,-0.7836702,0,0
200.2,-1,0,-0.6731865,0,0
200.2,-1,0,-0.8796322,0,0
200.2,-1,0,-0.8877122,0,0
200.2,-1,0,-0.807035,0,0
200.3,0,0,0,0,0
200.3,-1,0,-0.7609068,0,0
200.3,-1,0,-0.6472758,0,0
200.3,-1,0,-0.8598904,0,0
200.3,-1,0,-0.8710777,0,0
200.3,-1,0,-0.8275345,0,0
200.4,0,0,0,0,0
200.4,-1,0,-0.7364094,0,0
200.4,-1,0,-0.6199239,0,0
200.4,-1,0,-0.8380124,0,0
200.4,-1,0,-0.8525105,0,0
200.4,-1,0,-0.8455399,0,0
200.5,0,0,0,0,0
200.5,-1,0,-0.7103226,0,0
200.5,-1,0,-0.5911981,0,0
200.5,-1,0,-0.8140824,0,0
200.5,-1,0,-0.8320461,0,0
200.5,-1,0,-0.8610556,0,0
200.6,0,0,0,0,0
200.6,-1,0,-0.6826501,0,0
200.6,-1,0,-0.5611681,0,0
200.6,-1,0,-0.7881742,0,0
200.6,-1,0,-0.8097321,0,0
200.6,-1,0,-0.8741412,0,0
200.7,0,0,0,0,0
200.7,-1,0,-0.6533882,0,0
200.7,-1,0,-0.5299056,0,0
200.7,-1,0,-0.7603683,0,0
200.7,-1,0,-0.78563,0,0
200.7,-1,0,-0.884867,0,0
200.8,0,0,0,0,0
200.8,-1,0,-0.6283969,0,0
200.8,-1,0,-0.5023082,0,0
200.8,-1,0,-0.7372835,0,0
200.8,-1,0,-0.7665335,0,0
200.8,-1,0,-0.8998124,0,0
200.9,0,0,0,0,0
200.9,-1,0,-0.6027688,0,0
200.9,-1,0,-0.474211,0,0
200.9,-1,0,-0.7133341,0,0
200.9,-1,0,-0.746689,0,0
200.9,1,0,0.8207245,0,0
201,0,0,0,0,0
201,-1,0,-0.5708373,0,0
201,-1,0,-0.440864,0,0
201,-1,0,-0.6820747,0,0
201,-1,0,-0.7193916,0,0
201,1,0,0.8469983,0,0
201.1,0,0,0,0,0
201.1,-1,0,-0.5376695,0,0
201.1,-1,0,-0.4065588,0,0
201.1,-1,0,-0.6492386,0,0
201.1,-1,0,-0.690537,0,0
201.1,1,0,0.8714235,0,0
201.2,0,0,0,0,0
201.2,-1,0,-0.5033367,0,0
201.2,-1,0,-0.3713727,0,0
201.2,-1,0,-0.6149322,0,0
201.2,-1,0,-0.6601964,0,0
201.2,1,0,0.893856,0,0
201.3,0,0,0,0,0
201.3,-1,0,-0.335384,0,0
