Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,-1,1,-0.7909036,0,0
0.09999999,-1,1,-0.8167858,0,0
0.2,-1,1,-0.8404261,0,0
0.3,-1,1,-0.8436476,0,0
0.4,-1,1,-0.8638825,0,0
0.5,-1,1,-0.864852,0,0
0.6,-1,1,-0.8816576,0,0
0.7,-1,1,-0.8961466,0,0
0.8,-1,1,-0.8936856,0,0
0.9,-1,1,-0.8745147,0,0
1,-1,1,-0.8856801,0,0
1.1,-1,1,-0.8801126,0,0
1.2,-1,1,-0.8879561,0,0
1.3,-1,1,-0.8935653,0,0
1.4,-1,1,-0.8969502,0,0
1.5,-1,1,-0.8981264,0,0
1.6,-1,1,-0.9087929,0,0
1.7,-1,1,-0.9182429,0,0
1.8,-1,1,-0.8985105,0,0
1.9,-1,1,-0.8865981,0,0
2,-1,1,-0.8824155,0,0
2.1,-1,1,-0.8969177,0,0
2.2,-1,1,-0.8754421,0,0
2.3,-1,1,-0.8849419,0,0
2.4,-1,1,-0.8771982,0,0
2.5,-1,1,-0.8635539,0,0
2.6,-1,1,-0.8489965,0,0
2.7,-1,1,-0.8335498,0,0
2.8,-1,1,-0.8077458,0,0
2.9,-1,1,-0.7802184,0,0
3,-1,1,-0.7623976,0,0
3.1,-1,1,-0.7526465,0,0
3.2,-1,1,-0.7219673,0,0
3.3,-1,1,-0.7149962,0,0
3.4,-1,1,-0.6829408,0,0
3.5,-1,1,-0.6970268,0,0
3.6,-1,1,-0.6876929,0,0
3.7,-1,1,-0.6896391,0,0
3.8,-1,1,-0.6787237,0,0
3.9,-1,1,-0.656749,0,0
4,-1,1,-0.6238619,0,0
4.1,-1,1,-0.6150826,0,0
4.2,-1,1,-0.6056148,0,0
4.3,-1,1,-0.5943524,0,0
4.4,-1,1,-0.5967025,0,0
4.5,-1,1,-0.5614839,0,0
4.6,-1,1,-0.5755994,0,0
4.7,-1,1,-0.539924,0,0
4.8,-1,1,-0.5540663,0,0
4.9,-1,1,-0.5674506,0,0
5,-1,1,-0.580063,0,0
5.1,-1,1,-0.5453385,0,0
5.2,-1,1,-0.5478505,0,0
5.3,-1,1,-0.5120621,0,0
5.4,-1,1,-0.4866014,0,0
5.5,-1,1,-0.4779669,0,0
5.6,-1,1,-0.4807062,0,0
5.7,-1,1,-0.4662095,0,0
5.8,-1,1,-0.4576858,0,0
5.9,-1,1,-0.5001844,0,0
6,-1,1,-0.5134683,0,0
6.1,-1,1,-0.4877096,0,0
6.2,-1,1,-0.4509092,0,0
6.3,-1,1,-0.4425853,0,0
6.4,-1,1,-0.4044153,0,0
6.5,-1,1,-0.3654265,0,0
6.6,-1,1,-0.3257006,0,0
6.7,-1,1,-0.310763,0,0
6.8,-1,1,-0.2951225,0,0
6.9,-1,1,-0.2549226,0,0
7,-1,1,-0.2266289,0,0
7.1,-1,1,-0.1857352,0,0
7.2,-1,1,-0.1570787,0,0
7.3,-1,1,-0.1282782,0,0
7.4,-1,1,-0.08679873,0,0
7.5,-1,1,-0.04514823,0,0
7.6,-1,1,-0.003410262,0,0
7.7,0,1,0.03833138,0,0
7.8,0,1,0.07999371,0,0
7.9,0,1,0.121493,0,0
8,0,1,0.1627459,0,0
8.099999,0,1,0.2036693,0,0
8.2,0,1,0.2441798,0,0
8.3,0,1,0.2841954,0,0
8.4,0,1,0.3236342,0,0
8.5,0,1,0.3624137,0,0
8.599999,0,1,0.400454,0,0
