Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
0,0,1,0.5428799,0,0
0.09999999,0,1,0.5024282,0,0
0.2,0,1,0.4603644,0,0
0.3,0,1,0.45544,0,0
0.4,0,1,0.4720007,0,0
0.5,0,1,0.4964915,0,0
0.6,0,1,0.4533113,0,0
0.7,0,1,0.4387347,0,0
0.8,0,1,0.4235003,0,0
0.9,0,1,0.3880487,0,0
1,0,1,0.3719771,0,0
1.1,0,1,0.3356373,0,0
1.2,0,1,0.2875237,0,0
1.3,0,1,0.3130103,0,0
1.4,0,1,0.2869654,0,0
1.5,0,1,0.2380613,0,0
1.6,0,1,0.2204949,0,0
1.7,0,1,0.1704057,0,0
1.8,0,1,0.1843628,0,0
1.9,0,1,0.1336431,0,0
2,0,1,0.1148881,0,0
2.1,0,1,0.1209201,0,0
2.2,0,1,0.08206426,0,0
2.3,0,1,0.0306525,0,0
2.4,-1,1,-0.02086808,0,0
2.5,-1,1,-0.07232127,0,0
2.6,-1,1,-0.1235302,0,0
2.7,-1,1,-0.1743193,0,0
2.8,-1,1,-0.2245176,0,0
2.9,-1,1,-0.2623202,0,0
3,-1,1,-0.3112035,0,0
3.1,-1,1,-0.3478529,0,0
3.2,-1,1,-0.3949754,0,0
3.3,-1,1,-0.4407862,0,0
3.4,-1,1,-0.4262824,0,0
3.5,-1,1,-0.461098,0,0
3.6,-1,1,-0.4755549,0,0
3.7,-1,1,-0.4893042,0,0
3.8,-1,1,-0.5023326,0,0
3.9,-1,1,-0.485342,0,0
4,-1,1,-0.4673229,0,0
4.1,-1,1,-0.5082922,0,0
4.2,-1,1,-0.5128956,0,0
4.3,-1,1,-0.5232028,0,0
4.4,-1,1,-0.5327748,0,0
4.5,-1,1,-0.5702841,0,0
4.6,-1,1,-0.5781407,0,0
4.7,-1,1,-0.6129875,0,0
4.8,-1,1,-0.6190389,0,0
4.9,-1,1,-0.5966966,0,0
5,-1,1,-0.5731447,0,0
5.1,-1,1,-0.5772466,0,0
5.2,-1,1,-0.5806052,0,0
5.3,-1,1,-0.5832243,0,0
5.4,-1,1,-0.5871513,0,0
5.5,-1,1,-0.5910372,0,0
5.6,-1,1,-0.5928466,0,0
5.7,-1,1,-0.6214167,0,0
5.8,-1,1,-0.6250179,0,0
5.9,-1,1,-0.6251003,0,0
6,-1,1,-0.6508659,0,0
6.1,-1,1,-0.6228702,0,0
6.2,-1,1,-0.5993961,0,0
6.3,-1,1,-0.6300033,0,0
6.4,-1,1,-0.6009462,0,0
6.5,-1,1,-0.5771406,0,0
6.6,-1,1,-0.5745608,0,0
6.7,-1,1,-0.550387,0,0
6.8,-1,1,-0.5752019,0,0
6.9,-1,1,-0.5712849,0,0
7,-1,1,-0.5937259,0,0
7.1,-1,1,-0.5973586,0,0
7.2,-1,1,-0.5650914,0,0
7.3,-1,1,-0.5317563,0,0
7.4,-1,1,-0.5527939,0,0
7.5,-1,1,-0.5456954,0,0
7.6,-1,1,-0.5379984,0,0
7.7,-1,1,-0.5026084,0,0
7.8,-1,1,-0.5209731,0,0
7.9,-1,1,-0.5379204,0,0
8,-1,1,-0.5278212,0,0
8.099999,-1,1,-0.491001,0,0
8.2,-1,1,-0.5060809,0,0
8.3,-1,1,-0.468368,0,0
8.4,-1,1,-0.4985525,0,0
8.5,-1,1,-0.4604881,0,0
8.599999,-1,1,-0.4479767,0,0
8.7,-1,1,-0.408691,0,0
8.8,-1,1,-0.3954315,0,0
8.9,-1,1,-0.4079975,0,0
9,-1,1,-0.3676637,0,0
9.099999,-1,1,-0.3266726,0,0
9.2,-1,1,-0.338535,0,0
9.3,-1,1,-0.3495153,0,0
9.4,-1,1,-0.3079898,0,0
9.5,-1,1,-0.286423,0,0
9.599999,-1,1,-0.2441434,0,0
9.7,-1,1,-0.2014334,0,0
9.8,-1,1,-0.1583692,0,0
9.9,-1,1,-0.1150277,0,0
10,-1,1,-0.1262298,0,0
10.1,-1,1,-0.08269098,0,0
10.2,-1,1,-0.06638137,0,0
10.3,-1,1,-0.02265164,0,0
10.4,0,1,0.02111743,0,0
10.5,0,1,0.06484912,0,0
10.6,0,1,0.1084671,0,0
10.7,0,1,0.1518954,0,0
10.8,0,1,0.1950569,0,0
10.9,0,1,0.237876,0,0
11,0,1,0.2802752,0,0
11.1,0,1,0.3221789,0,0
11.2,0,1,0.3433489,0,0
11.3,0,1,0.3844028,0,0
11.4,0,1,0.4247696,0,0
11.5,0,1,0.4643728,0,0
11.6,0,1,0.5031356,0,0
11.7,0,1,0.5409824,0,0
11.8,0,1,0.5778365,0,0
11.9,0,1,0.613622,0,0
12,0,1,0.6482629,0,0
12.1,0,1,0.6816837,0,0
12.2,0,1,0.7138087,0,0
12.3,0,1,0.744563,0,0
12.4,0,1,0.7552433,0,0
12.5,0,1,0.7651318,0,0
12.6,0,1,0.7544913,0,0
12.7,0,1,0.7823902,0,0
12.8,1,1,0.8087397,0,0
12.9,1,1,0.8334674,0,0
13,1,1,0.8565022,0,0
13.1,1,1,0.8777748,0,0
13.2,1,1,0.8602566,0,0
